Folder1	Folder2	Night	Label	Number
cell-0	20150717	2015/07/17	LABO	9
cell-0	20150717	2015/07/17	NOID	7
cell-0	20150717	2015/07/17	NYHU	10
cell-0	20150717	2015/07/17	PESU	1
cell-0	20150717	2015/07/17	TABR	2
cell-0	20150718	2015/07/18	LABO	9
cell-0	20150718	2015/07/18	LACI	1
cell-0	20150718	2015/07/18	LANO	2
cell-0	20150718	2015/07/18	NOID	9
cell-0	20150718	2015/07/18	NYHU	3
cell-0	20150718	2015/07/18	PESU	3
cell-12	20150614	2015/06/14	LABO	1
cell-12	20150614	2015/06/14	LANO	3
cell-12	20150614	2015/06/14	NOID	6
cell-12	20150614	2015/06/14	NYHU	2
cell-12	20150614	2015/06/14	TABR	5
cell-12	20150615	2015/06/15	EPFU	3
cell-12	20150615	2015/06/15	LABO	2
cell-12	20150615	2015/06/15	LANO	2
cell-12	20150615	2015/06/15	NOID	8
cell-12	20150615	2015/06/15	NYHU	3
cell-12	20150615	2015/06/15	TABR	2
cell-13	20150709	2015/07/09	LABO	29
cell-13	20150709	2015/07/09	MYSPP	1
cell-13	20150709	2015/07/09	NOID	18
cell-13	20150709	2015/07/09	NYHU	14
cell-13	20150709	2015/07/09	PESU	11
cell-13	20150709	2015/07/09	foraging	6
cell-13	20150709	2015/07/09	social	1
cell-13	20150710	2015/07/10	LABO	15
cell-13	20150710	2015/07/10	NOID	15
cell-13	20150710	2015/07/10	NYHU	13
cell-13	20150710	2015/07/10	PESU	13
cell-13	20150710	2015/07/10	foraging	3
cell-13	20150710	2015/07/10	social	1
cell-14	20150602	2015/06/02	LABO	1
cell-14	20150602	2015/06/02	NOID	2
cell-14	20150602	2015/06/02	NYHU	4
cell-14	20150602	2015/06/02	PESU	2
cell-14	20150607	2015/06/07	LABO	3
cell-14	20150607	2015/06/07	NOID	2
cell-14	20150607	2015/06/07	NYHU	3
cell-15	20150703	2015/07/03	EPFU	1
cell-15	20150703	2015/07/03	LABO	2
cell-15	20150703	2015/07/03	LANO	1
cell-15	20150703	2015/07/03	NOID	18
cell-15	20150703	2015/07/03	NYHU	2
cell-15	20150703	2015/07/03	PESU	1
cell-15	20150703	2015/07/03	TABR	3
cell-15	20150705	2015/07/05	LABO	6
cell-15	20150705	2015/07/05	NOID	15
cell-15	20150705	2015/07/05	NYHU	2
cell-15	20150705	2015/07/05	PESU	3
cell-18	20150605	2015/06/05	EPFU	1
cell-18	20150605	2015/06/05	LABO	7
cell-18	20150605	2015/06/05	LANO	1
cell-18	20150605	2015/06/05	NOID	7
cell-18	20150605	2015/06/05	NYHU	4
cell-18	20150606	2015/06/06	LABO	8
cell-18	20150606	2015/06/06	NOID	6
cell-18	20150606	2015/06/06	NYHU	6
cell-18	20150606	2015/06/06	PESU	1
cell-18	20150606	2015/06/06	TABR	3
cell-19	20150727	2015/07/27	EPFU	1
cell-19	20150727	2015/07/27	LABO	3
cell-19	20150727	2015/07/27	MYSPP	1
cell-19	20150727	2015/07/27	NOID	11
cell-19	20150727	2015/07/27	NYHU	11
cell-19	20150727	2015/07/27	PESU	4
cell-19	20150728	2015/07/28	LABO	9
cell-19	20150728	2015/07/28	LAIN	1
cell-19	20150728	2015/07/28	LANO	1
cell-19	20150728	2015/07/28	NOID	9
cell-19	20150728	2015/07/28	NYHU	16
cell-19	20150728	2015/07/28	PESU	4
cell-1	20150612	2015/06/12	EPFU	1
cell-1	20150612	2015/06/12	LABO	9
cell-1	20150612	2015/06/12	NOID	13
cell-1	20150612	2015/06/12	NYHU	3
cell-1	20150612	2015/06/12	PESU	1
cell-1	20150613	2015/06/13	LABO	1
cell-1	20150613	2015/06/13	NOID	3
cell-1	20150613	2015/06/13	NYHU	6
cell-20	20150614	2015/06/14	LABO	2
cell-20	20150614	2015/06/14	LACI	1
cell-20	20150614	2015/06/14	NOID	5
cell-20	20150614	2015/06/14	NYHU	3
cell-20	20150614	2015/06/14	PESU	2
cell-20	20150614	2015/06/14	TABR	2
cell-20	20150621	2015/06/21	LANO	3
cell-20	20150621	2015/06/21	NOID	8
cell-20	20150621	2015/06/21	NYHU	6
cell-20	20150621	2015/06/21	PESU	2
cell-20	20150621	2015/06/21	TABR	2
cell-21	20150720	2015/07/20	EPFU	7
cell-21	20150720	2015/07/20	LABO	6
