Filename,Time,Frequency,Pulse
P7172114.09#,0.17048400000000005,37037.03703703807,1
P7172114.09#,0.17059300000000005,37383.17757009486,1
P7172114.09#,0.17070000000000005,36697.2477064227,1
P7172114.09#,0.17080700000000004,36529.68036529731,1
P7172114.09#,0.17091800000000004,37383.17757009486,1
P7172114.09#,0.17102600000000004,37209.30232558261,1
P7172114.09#,0.17113200000000003,36529.68036529731,1
P7172114.09#,0.17124100000000003,36529.68036529731,1
P7172114.09#,0.17135100000000003,36697.2477064227,1
P7172114.09#,0.17146000000000003,36529.68036529731,1
P7172114.09#,0.17156900000000003,36697.2477064227,1
P7172114.09#,0.17167900000000003,36529.68036529731,1
P7172114.09#,0.17178700000000002,36036.03603603604,1
P7172114.09#,0.17189800000000002,36199.0950226246,1
P7172114.09#,0.17200900000000002,36529.68036529731,1
P7172114.09#,0.17211900000000002,36363.636363636695,1
P7172114.09#,0.17222800000000002,35874.43946188325,1
P7172114.09#,0.17233900000000002,36199.0950226246,1
P7172114.09#,0.17245100000000002,36529.68036529731,1
P7172114.09#,0.17256000000000002,36199.0950226246,1
P7172114.09#,0.17267000000000002,35555.55555555508,1
P7172114.09#,0.17278100000000002,35714.2857142854,1
P7172114.09#,0.17289500000000002,36363.636363636695,1
P7172114.09#,0.17300500000000002,36036.03603603604,1
P7172114.09#,0.17311500000000002,35555.55555555508,1
P7172114.09#,0.17322700000000002,35714.2857142854,1
P7172114.09#,0.17334000000000002,36036.03603603604,1
P7172114.09#,0.17345100000000002,35874.43946188325,1
P7172114.09#,0.17356200000000002,35555.55555555508,1
P7172114.09#,0.17367400000000002,35714.2857142854,1
P7172114.09#,0.17378700000000002,36036.03603603604,1
P7172114.09#,0.17389800000000002,35555.55555555508,1
P7172114.09#,0.17400900000000002,35242.2907488979,1
P7172114.09#,0.17412300000000003,35555.55555555508,1
P7172114.09#,0.17423600000000003,36036.03603603604,1
P7172114.09#,0.17434800000000003,35874.43946188325,1
P7172114.09#,0.17445800000000003,35087.719298244694,1
P7172114.09#,0.17457100000000003,35087.719298244694,1
P7172114.09#,0.17468600000000004,35714.2857142854,1
P7172114.09#,0.17479900000000004,36036.03603603604,1
P7172114.09#,0.17491000000000004,35398.23008849495,1
P7172114.09#,0.17502100000000004,34632.03463203328,1
P7172114.09#,0.17513600000000004,35398.23008849495,1
P7172114.09#,0.17525200000000005,36036.03603603604,1
P7172114.09#,0.17536200000000005,35398.23008849495,1
P7172114.09#,0.17547400000000005,34782.60869565097,1
P7172114.09#,0.17558800000000005,34934.49781659282,1
P7172114.09#,0.17570400000000005,35714.2857142854,1
P7172114.09#,0.17581700000000006,35398.23008849495,1
P7172114.09#,0.17592800000000006,34482.758620688175,1
P7172114.09#,0.17604300000000006,34782.60869565097,1
P7172114.09#,0.17616000000000007,35714.2857142854,1
P7172114.09#,0.4930270000000002,39999.999999993306,2
P7172114.09#,0.49312600000000023,39512.19512194685,2
P7172114.09#,0.49322700000000025,39024.390243900394,2
P7172114.09#,0.49333100000000024,39215.6862745026,2
P7172114.09#,0.49343200000000026,38742.96435272072,2
P7172114.09#,0.4935350000000003,38461.53846154106,2
P7172114.09#,0.49363900000000027,38461.53846154106,2
P7172114.09#,0.49374300000000027,38277.51196171979,2
P7172114.09#,0.49384700000000026,38095.238095230205,2
P7172114.09#,0.4939520000000003,38277.51196171979,2
P7172114.09#,0.4940570000000003,38095.238095240275,2
P7172114.09#,0.4941610000000003,37558.685446006086,2
P7172114.09#,0.4942670000000003,37558.685446006086,2
P7172114.09#,0.4943740000000003,37558.685446006086,2
P7172114.09#,0.4944800000000003,37470.93150804563,2
P7172114.09#,0.49458700000000033,37383.177570085165,2
P7172114.09#,0.49469400000000036,37383.177570085165,2
P7172114.09#,0.4948010000000004,37124.768508542955,2
P7172114.09#,0.4949080000000004,37124.768508542955,2
P7172114.09#,0.4950160000000004,36866.359447000745,2
P7172114.09#,0.4951250000000004,37037.03703703807,2
P7172114.09#,0.4952330000000004,36866.359447000745,2
P7172114.09#,0.4953410000000004,36697.24770641335,2
P7172114.09#,0.49545000000000045,36866.359447000745,2
P7172114.09#,0.49555900000000047,36866.359447000745,2
P7172114.09#,0.49566700000000047,36698.019906146714,2
P7172114.09#,0.4957760000000005,36529.680365292676,2
P7172114.09#,0.4958860000000005,36697.24770641335,2
P7172114.09#,0.4959950000000005,36446.65836446469,2
P7172114.09#,0.49610400000000054,36363.636363636695,2
P7172114.09#,0.49621400000000054,36363.636363636695,2
P7172114.09#,0.49632400000000054,36363.636363636695,2
P7172114.09#,0.49643400000000054,36363.636363636695,2
P7172114.09#,0.49654400000000054,36199.09502262006,2
P7172114.09#,0.49665400000000054,36281.36569312838,2
P7172114.09#,0.49676500000000057,36199.09502262006,2
P7172114.09#,0.4968760000000006,36199.09502262006,2
P7172114.09#,0.4969860000000006,36117.56552932355,2
P7172114.09#,0.4970970000000006,36036.03603602703,2
P7172114.09#,0.49720800000000065,36036.03603602703,2
P7172114.09#,0.4973190000000007,36036.03603602703,2
P7172114.09#,0.4974300000000007,35874.439461878785,2
P7172114.09#,0.49754100000000073,35955.2377489529,2
P7172114.09#,0.49765300000000073,35874.439461878785,2
P7172114.09#,0.49776500000000073,35874.439461878785,2
P7172114.09#,0.49787600000000076,35794.36258808209,2
P7172114.09#,0.49798800000000076,35714.2857142854,2
P7172114.09#,0.49810000000000076,35714.2857142854,2
P7172114.09#,0.49821200000000077,35714.2857142854,2
P7172114.09#,0.49832400000000077,35714.2857142854,2
P7172114.09#,0.49843600000000077,35634.92063492243,2
