"Time","Frequency"
10,NA
99,NA
183,46242
270,46783
359,45454
444,45977
529,47058
618,45977
703,45977
813,41025
899,40816
985,46511
1070,46783
1207,36036
1293,35874
1377,47058
1461,47619
1548,46783
1634,46242
1722,45977
1806,46511
1890,47619
1978,46511
2064,45977
2149,46783
2326,30534
2411,30534
2495,47337
2580,47337
2667,46511
2886,26143
3016,22922
3145,30888
3231,37209
3315,47058
3404,46242
3489,45977
3574,47058
3659,47058
3743,47337
4249,13559
4396,12251
4672,18912
4780,20833
4864,41666
5009,34934
5109,32653
5208,40201
5361,31746
5822,13029
5906,14678
6035,37558
6233,24464
6537,15936
6771,14869
6939,19900
7592,9744
7953,7889
8263,11922
10004,NA
10415,NA
10821,9791
12894,NA
13370,NA
14029,7048
14399,7774
14833,9950
17805,NA
58619,NA
58741,NA
58847,35087
59106,21917
59311,17241
59621,15533
59699,20618
59899,28776
59998,26755
60140,33195
60221,35874
60411,29520
60748,15180
60827,19230
60953,39024
61034,38647
61118,48484
61356,24844
61479,22160
61563,38647
61649,47058
61952,20565
62308,12139
62434,16597
62542,34188
62822,20618
62925,20887
63249,18735
65404,NA
65617,NA
65696,27397
65886,29739
66057,22160
66132,32520
66210,52287
66379,32388
66457,32388
66594,37209
66727,29629
66878,28169
66997,29629
67102,35714
67253,31250
67348,32520
67575,24844
67700,22727
67935,22222
68013,25559
68091,51282
68186,46242
68299,38461
68402,37037
68529,34782
68658,31250
68736,38647
68817,50314
68897,49689
68971,51948
69046,53691
69149,44943
69228,43956
69309,50000
69390,49382
69472,49079
69554,48780
69635,49079
69760,38834
69838,39408
69945,43243
70025,42780
70109,48780
70191,48192
70276,47904
70359,47619
70444,47619
70572,37558
70700,31250
70828,31250
70912,37735
70996,47619
71079,47904
71213,36866
71365,27972
71443,34782
71517,52631
71708,30188
71792,29090
71877,47337
72008,37037
72090,37558
72176,47619
72313,35874
72410,34188
72490,45197
72571,49689
72740,32000
72820,32128
72912,46511
73039,36529
73125,37558
73230,41884
73377,31746
73463,34334
73592,37209
73677,37383
73760,47619
73844,47904
73929,47337
74013,47337
74102,46242
74183,47058
74379,28880
74478,27118
74563,43478
74671,41450
74755,41666
74839,47619
74926,46783
75010,46783
75094,47619
75178,47619
75262,47619
75346,47619
75431,47337
75545,40201
75723,27397
75930,20779
76031,25974
76117,42780
76306,29090
76388,29520
76520,37383
76757,21680
76841,24922
76919,49382
77000,50314
77188,29739
77625,12800
77751,14209
77903,28776
78118,21798
78224,24922
78307,42328
78525,26578
78627,25000
78951,18779
79140,15594
80118,6855
80634,5354
83765,NA
148662,NA
149305,NA
149511,9422
149850,14678
149952,18140
150097,32388
150237,28070
150622,15238
150750,15594
150836,37383
150946,40816
151052,37037
151137,41884
151223,46783
151312,45714
151418,41025
151554,33057
151640,36036
151725,46783
151811,46783
151900,45714
152008,40609
152119,36529
152204,40816
152360,33195
152578,21390
152774,19323
152908,24242
152994,36363
153079,46783
153217,35874
153345,30075
153480,30418
153564,36529
153656,45454
153828,30303
154138,16597
154587,10540
155103,8290
155687,7272
155995,8968
156324,12558
156719,11049
157053,10973
157156,18306
157436,20887
157716,14285
157893,17505
158065,22922
158242,22922
158326,30651
158409,47904
158782,17543
158885,16806
159056,29197
159266,20997
159409,22662
159512,32520
159617,38461
159715,39408
159846,34934
159951,33898
160036,42105
160252,26578
160357,24922
160443,41884
160577,36363
160661,36697
160772,41025
160859,40404
160946,45977
161058,40201
161143,40609
161226,47619
161380,33755
161833,13179
161941,14260
162026,41450
162279,23668
162364,23668
162451,46511
162537,46242
162628,45197
162717,44444
162804,45454
162890,46242
163001,40609
163086,40816
163174,46242
163260,45977
163345,46783
163433,46242
163522,45197
163764,24169
163891,21680
163976,37735
164107,37037
164187,37914
164297,42105
164382,41025
164470,46242
164713,24169
165310,9523
165408,11510
165698,20618
165783,21333
165869,46783
165954,46783
166225,22471
166334,21052
166485,30769
166753,19093
166853,21739
167086,24024
167373,15384
167676,13559
168057,11695
169103,5606
169389,6006
170175,7462
170375,8113
170479,26315
170591,37037
170719,33333
171266,11851
171539,9756
172055,10139
172975,5571
174000,4113
175741,NA
175826,4381
177596,4312
218572,NA
256542,NA
256609,NA
256679,58394
256866,31128
256936,31128
257011,55172
257104,47619
257219,38461
257395,27491
257528,25889
257627,34482
257860,24096
257955,24390
258144,28169
258289,23952
258414,29629
258495,38834
258579,48484
258662,47904
258745,48192
258827,48484
259067,24844
259436,13136
259561,16194
259666,34782
259773,37735
259859,41450
259945,46511
260029,47058
260115,47058
260201,46511
260287,46511
260372,46783
260459,46511
260547,45714
260631,46511
260716,47337
260804,46242
260890,45977
260976,46511
261062,46511
261148,46511
261235,46242
261344,40816
261869,12618
263318,4052
263773,4201
264212,8948
264313,14814
264409,40609
264485,46511
264825,19230
265086,13311
265201,21276
265463,21220
265634,18475
265737,29197
265817,43715
266012,29090
266220,19851
266368,22471
266446,35398
266525,50955
266612,48192
266696,46783
266779,47904
266862,48192
266969,42105
267075,37558
267151,43956
267230,51612
267311,50000
267429,40201
267508,40609
267590,49689
267669,49689
267748,50632
267827,50632
267910,49382
267994,47904
268077,47904
268159,48484
268240,49079
268321,49382
268404,48780
268488,47904
268571,47904
268656,47619
268738,47904
268839,43715
268916,44943
268998,50314
269078,49382
269199,39800
269326,32258
269479,28571
269562,33898
269646,47904
269731,47337
269817,46783
269903,46511
270036,36529
270119,37037
270203,47904
270288,47337
270373,47058
270458,47058
270544,46783
270628,47058
270714,47058
270799,46783
270884,47058
270969,47058
271054,47058
271135,48192
271239,43243
271320,43243
271474,34042
271630,25806
271710,33898
271796,48192
271880,47058
272015,36529
272122,33057
272204,42328
272292,47058
272375,46783
272460,47619
272545,47058
272631,46783
272761,37037
272850,36529
272933,46511
273018,47619
273104,46783
273188,47058
273273,47337
273357,47337
273442,47337
273529,46511
273614,46511
273723,41237
273851,33755
273936,37558
274020,47337
274104,47619
274188,47619
274275,46783
274362,45977
274446,46783
274531,47337
274616,47058
274702,46783
274785,47337
274872,47058
275001,37037
275106,34188
275255,31496
275469,22038
275753,16064
276082,13050
276184,18561
276395,25559
276629,17977
276777,20942
276922,27303
277075,26845
277246,24691
277333,31007
277418,46511
277650,25236
278182,10471
278737,7359
283565,NA
284098,NA
284818,6384
346578,NA
346766,NA
346840,30534
346914,54054
346988,54054
347081,47904
347198,38095
347372,27491
347449,31872
347547,45714
347647,40404
347723,45454
347801,51948
347927,39215
348007,38834
348090,49079
348171,48780
348253,49079
348336,48484
348420,47904
348503,47904
348586,48192
348670,47904
348751,48484
348929,30888
349036,28070
349211,28368
349295,30888
349378,47904
349463,47619
349549,46783
349635,46511
349721,46511
349807,46511
349893,46511
349981,45977
350068,45714
350154,46242
350241,46242
350328,45977
350415,45977
350501,46242
350588,46242
350675,45977
350762,45977
350850,45714
350938,45454
351024,45977
351111,46242
351198,45977
351286,45714
351374,45454
351461,45714
351550,45454
351659,40404
351745,41025
351877,36697
351965,36363
352073,40816
352207,33057
352291,36697
352378,46783
352467,45454
352667,27681
352754,27874
352885,36697
353152,20100
353391,15810
354328,6802
355312,4164
355600,6289
355964,12269
356174,13937
356344,21052
356428,31496
356509,48484
356595,47904
356719,38095
356916,24922
357153,18433
357235,25078
357321,47619
357409,45977
357491,47058
357636,35242
357761,29629
357844,38461
357928,47904
358015,46783
358100,46511
358187,46511
358293,41450
358396,38277
358479,43010
358565,47337
358647,47619
358732,47904
358821,45977
358907,45714
358991,47058
359075,47619
359296,26229
359398,24767
359482,43010
359588,42105
359717,34042
359803,37209
360048,24169
360133,24242
360261,37558
360347,37383
360470,38277
360604,31128
360686,37037
360773,47337
360860,45977
360945,46511
361031,46783
361192,32388
361551,15384
361640,17857
361720,47337
361805,48484
361961,33195
362090,28070
362197,33898
362281,41884
362390,41450
362475,41237
362562,46511
362650,45714
362735,46242
362823,46242
362932,40609
363016,41450
363102,47058
363187,46783
363270,47619
363473,27972
363825,14414
363932,17429
364088,30418
364171,33472
364256,47619
364345,45977
364429,46242
364515,47058
364651,36036
364734,36529
364819,47619
364905,46783
365058,33472
365375,17021
365483,18823
365590,37209
365677,41237
365763,46242
365849,46511
365934,46783
366022,46242
366132,40404
366217,41025
366304,46511
366435,36697
366544,33333
366654,36529
366851,26058
366960,26143
367045,41237
367155,41025
367493,17857
367710,14414
367949,17543
368100,20512
368207,31007
368315,37209
368401,41237
368576,30651
368727,24539
369710,7054
370433,4689
370563,9378
370866,18475
371080,15473
371390,15267
371518,18264
371893,15904
372063,14678
372392,16032
373116,7597
373375,8138
373591,16842
373696,24922
375785,NA
377539,NA
387784,NA
446750,NA
446821,NA
446892,56338
447005,43478
447076,43478
447149,55555
447223,54421
447299,53333
447373,53333
447449,53333
447525,52631
447603,51948
447681,51282
447757,51948
447835,51948
447913,51282
447994,50314
448072,50314
448152,50632
448237,48484
448317,48484
448400,49079
448481,48780
448563,49079
448646,48484
448730,47904
448814,47619
448897,47904
448980,48192
449089,41666
449173,41450
449258,47337
449343,47058
449428,47058
449515,46511
449600,46511
449685,47058
449772,46511
449859,45977
449945,46242
450031,46511
450116,46783
450202,46783
450288,46511
450375,46242
450461,46242
450548,46242
450635,45977
450721,46242
450808,46242
450894,46242
450981,46242
451067,46242
451155,45977
451242,45714
451329,45977
451417,45714
451504,45714
451590,46242
451677,46242
451765,45714
451851,45977
451939,45977
452026,45714
452113,45977
452200,45977
452287,45977
452375,45714
452462,45714
452552,45197
452683,36199
452771,36529
452856,46242
452992,36199
453186,24242
453650,12158
453794,13157
453950,26666
454228,18433
454429,16701
454754,15209
455061,12658
455256,15936
455360,26755
455443,42780
455546,43010
455624,44198
455905,22284
456047,18912
456177,29411
456258,37914
456342,48484
456471,37558
456577,34042
456677,38834
456756,44692
456854,45197
456932,45454
457015,49689
457092,50000
457214,40201
457293,39800
457369,51612
457499,38834
457582,37558
457759,30769
457843,30651
457926,47904
458087,32786
458169,32921
458251,48780
458334,48484
458412,49689
458494,50000
458578,48192
458659,48484
458740,49382
458824,48484
458910,47058
458993,47337
459106,40816
459191,40404
459278,46511
459365,45977
459450,46511
459537,46511
459622,46511
459711,45977
459796,45977
459884,46242
459968,46511
460055,46783
460139,46783
460227,46511
460309,47058
460386,50314
460466,50955
460549,49079
460634,47619
460718,47337
460830,40816
460915,40609
461000,47058
461083,47619
461170,47058
461273,42105
461456,27972
461530,31128
461614,50632
461700,47058
461787,46242
461869,47337
461957,47058
462042,46242
462130,46242
462216,45977
462307,45197
462390,45977
462478,46783
462568,44943
462654,45454
462744,45454
462826,46511
462937,41450
463022,40816
463109,46511
463194,46511
463278,47337
463395,39800
463479,39800
463564,47337
463649,47058
463737,46242
463823,45977
463909,46511
463997,45977
464078,47337
464201,39215
464303,35555
464492,27491
464594,27491
464860,21739
464943,22922
465049,42328
465132,42328
465219,47058
465301,47337
465382,49079
465511,38095
465596,37383
465701,42105
465787,41884
465873,46511
465961,45977
466045,46511
466130,47337
466397,22727
466569,18223
466767,21621
466961,20408
467069,26490
467197,33898
468158,7346
468339,7005
468557,20050
468704,21917
469310,10624
470132,5602
471790,NA
472271,NA
472398,13157
472829,14336
474843,NA
530689,NA
530768,NA
530829,57142
530972,39215
531037,38461
531108,58823
531180,55944
531257,53691
531329,53691
531401,55555
531475,54794
531550,53691
531625,53333
531701,52980
531777,52631
531853,52631
531931,51948
532009,51282
532086,51612
532164,51612
532243,50955
532324,50000
532404,49689
532487,49079
532568,48780
532650,49079
532733,48484
532816,48192
532898,48484
532983,47904
533066,47619
533150,47904
533234,47619
533320,47058
533405,46783
533490,47058
533574,47337
533661,46783
533748,45977
533834,46242
533920,46511
534006,46511
534092,46511
534178,46511
534264,46511
534351,46242
534436,46511
534524,46242
534610,45977
534697,46242
534784,45977
534871,45977
534957,46242
535044,46242
535131,45977
535217,46242
535304,46242
535392,45714
535479,45714
535566,45977
535653,45977
535741,45714
535826,46242
535913,46511
536001,45714
536139,35398
536223,36036
536308,47337
536396,46242
536505,40609
536594,40404
536770,30188
536986,20408
537300,15094
537893,8820
538003,11379
538140,32388
538262,30888
538352,37735
538647,20779
538782,18604
538879,34482
539005,35874
539080,39800
539150,55172
539232,52631
539314,48780
539444,37735
539544,34782
539628,43478
539709,48484
539792,48780
539941,34482
540073,28469
540176,34042
540257,43478
540369,41450
540449,41666
540531,49382
540616,47904
540703,46511
540787,46783
540873,47058
540960,46242
541043,47058
541127,47904
541213,47058
541296,47337
541367,51948
541445,53691
541591,35714
541675,34782
541755,48780
541840,48484
541923,47619
542044,39215
542118,41025
542231,42780
542310,41666
542390,50314
542475,48484
542555,48484
542636,49689
542718,49079
542873,33755
542955,33755
543037,48780
543120,48484
543204,47904
543286,48192
543362,50632
543455,47337
543532,47058
543616,49689
543699,47904
543784,47619
543870,46783
543958,45977
544042,46511
544126,47619
544213,46783
544295,47337
544380,47904
544606,25723
544687,26058
544776,47058
544856,47337
544943,47904
545027,46783
545162,36529
545247,36363
545331,47337
545419,46511
545503,46511
545587,47619
545662,50314
545744,50955
545832,47058
545947,39408
546031,40201
546115,47619
546200,47337
546282,47904
546375,45714
546455,46242
546543,47619
546626,46783
546713,47058
546796,47058
546879,48192
546957,49689
547040,49689
547124,47904
547322,28368
547526,19900
547651,24316
547734,38461
547817,48192
547930,40816
548011,41237
548095,48484
548229,36697
548359,30303
548447,36697
548533,45977
548619,46511
548774,33195
548882,30418
548964,42105
549208,24539
549292,24390
549378,47058
549486,41237
549614,33898
549768,28368
549876,30534
549961,41450
550047,46783
550133,46511
550215,47619
550412,28673
550536,24922
550706,27210
551044,15748
551373,11994
551724,11764
551828,17582
551977,31620
552084,31250
552236,30888
552382,26845
552536,26666
552644,30534
552813,28880
552944,26666
553027,37383
553132,42553
553216,42328
554053,8686
554325,7213
554867,9828
554991,12012
555187,25000
555484,16227
555653,17167
556025,14787
557445,4464
557811,4479
559745,NA
560244,NA
561686,4121
563585,NA
565264,NA
643132,NA
643191,NA
643255,65040
643322,61068
643416,49689
643483,49689
643554,57971
643623,57142
643738,43478
643810,42780
643883,55172
643957,54421
644031,54054
644107,53333
644183,52631
644259,52631
644336,52287
644415,51282
644492,51282
644570,51612
644648,51282
644728,50632
644808,50000
644889,49689
644971,49079
645053,48780
645136,48484
645219,48192
645301,48484
645384,48484
645469,47619
645552,47619
645637,47619
645722,47058
645807,47058
645891,47337
645975,47619
646063,46511
646149,45977
646233,47058
646320,46783
646406,46242
646492,46511
646578,46511
646664,46511
646750,46511
646836,46511
646921,46783
647008,46511
647094,46242
647181,46242
647268,45977
647354,46242
647441,46242
647527,46242
647614,46242
647701,45977
647787,46242
647874,46242
647960,46242
648048,45977
648135,45714
648221,46242
648309,45977
648396,45714
648483,45977
648590,41237
648724,33195
648812,36036
649251,15180
649995,6762
650124,9163
650364,21680
650528,19801
650707,23323
650890,22099
651059,22727
651134,32786
651214,51612
651292,50632
651401,42780
651481,42328
651607,38834
651754,29304
651836,34934
651918,48780
652000,48780
652079,49689
652161,49689
652267,42553
652348,42780
652432,48484
652517,47337
652602,47058
652687,47058
652771,47337
652928,33195
653059,27777
653139,37914
653223,48780
653309,47058
653393,47058
653474,48484
653607,37383
653737,30418
653814,38647
653896,50314
654019,39024
654098,39603
654175,51282
654253,51612
654505,24242
654654,19950
654733,35087
654824,47058
654904,46783
654986,49382
655072,47619
655157,46783
655244,46511
655346,42328
655453,38277
655528,43956
655609,51282
655694,48192
655778,47337
655863,47337
655947,47337
656034,46783
656117,47058
656197,49079
656275,50632
656350,52287
656427,52631
656497,54421
656575,54054
656655,50632
656813,33613
656894,33472
656983,47058
657066,46511
657157,45977
657239,46242
657323,48192
657407,47619
657594,29520
657675,29850
657758,48780
657845,47058
657932,45977
658018,46242
658102,47058
658232,37383
658386,28169
658468,33898
658551,48484
658634,48192
658719,47619
658854,36363
659032,25559
659116,30534
659202,47058
659286,47058
659424,36036
659508,36036
659593,47337
659681,46242
659767,45977
659852,46783
659938,46783
660023,46783
660179,33195
660262,33472
660347,47619
660431,47337
660514,47904
660688,31128
661062,14598
661172,16528
661274,37735
661363,41884
661447,46242
661532,47337
661644,40609
661726,41237
661810,48192
661985,30888
662114,26315
662386,19950
662666,14492
662751,21917
662836,47058
662928,45197
663311,16842
663433,15841
663536,35555
663620,42780
663750,37383
663837,36866
663943,41450
664206,21680
664291,22988
664375,47337
664646,22535
664867,16260
665380,10899
665528,12102
665763,20887
665871,23323
666068,26229
666259,20618
666410,23391
666835,13888
667403,8056
667606,10376
667692,27681
667799,41450
667884,41666
668009,38095
668182,26845
668351,23391
673617,NA
674413,NA
674853,6472
675954,5191
725286,NA
725345,NA
725425,57553
725485,57142
725548,65040
725612,62992
725678,61538
725744,60606
725837,50314
725907,49079
725978,56737
726042,59259
726111,60150
726183,56737
726256,55172
726330,54421
726406,53333
726481,52980
726558,52631
726635,51948
726712,51948
726790,51612
726869,50955
726947,50955
727026,50955
727106,50314
727186,50000
727268,49382
727349,49079
727431,49079
727514,48484
727597,48192
727679,48484
727761,48780
727847,47619
727929,47619
728015,47619
728099,47058
728185,47058
728269,47058
728354,47337
728440,46783
728526,46511
728611,46783
728698,46511
728783,46511
728869,46783
728955,46511
729042,46242
729128,46242
729213,46783
729299,46783
729386,46242
729472,46242
729560,45977
729646,45977
729733,46242
729819,46242
729906,46242
729992,46242
730079,46242
730165,46242
730253,45977
730340,45714
730431,44943
730519,44692
730609,44943
730692,46242
730778,47337
730864,46511
730974,40816
731084,36363
731170,40816
731258,45977
731388,36697
731521,30418
731629,33195
732299,10282
732465,9569
732569,29629
732727,30534
732868,26755
733366,12519
733444,13888
733692,24539
733832,20618
734000,25974
734084,31746
734166,48192
734247,49079
734329,49079
734410,49079
734544,37209
734650,33333
734731,42780
734841,41884
734916,43243
735047,38834
735127,37914
735208,49689
735291,48780
735377,47337
735459,47619
735543,48192
735629,47058
735715,46511
735797,47619
735881,48192
735959,49382
736041,50000
736124,48484
736209,47619
736293,47337
736371,49382
736450,50955
736580,38277
736668,36697
736751,46783
736865,40609
736945,41237
737064,40201
737148,39408
737232,47619
737316,47619
737404,46511
737487,46783
737571,47904
737714,35242
737819,32258
737895,44198
737974,51612
738056,49689
738140,48192
738223,47904
738302,49382
738384,49689
738463,49689
738574,42105
738654,41884
738740,48192
738824,47058
738909,47337
738994,47058
739080,46783
739164,47058
739251,46783
739335,46783
739419,47619
739502,47904
739586,47904
739668,48192
739758,46511
739842,45977
739930,46511
740018,45454
740104,45977
740188,47058
740273,47337
740359,46783
740443,47058
740530,46783
740824,20997
740944,19323
741028,39215
741116,46511
741200,46511
741287,46783
741367,47904
741489,39603
741571,39215
741658,47337
741745,45977
741829,46783
741914,47337
741999,47058
742082,47619
742242,32921
742324,33057
742435,41450
742657,24024
742740,26229
742825,47619
742934,41237
743020,41025
743104,47058
743194,45977
743364,30769
743696,15936
743823,17429
743955,30888
744037,37383
744191,33898
744365,24390
744450,30888
744535,47058
744618,47619
744763,35087
745172,14440
745277,15564
745473,26578
745555,28776
745790,25236
745995,18181
746326,14925
746573,13840
746984,12158
747221,12345
747596,13071
748028,9913
748107,15655
748258,34782
748676,14059
748946,11627
749030,22598
749310,21978
749587,14362
749913,13266
750018,18561
750188,29090
750620,13289
750847,12139
751160,14814
751469,12861
751640,16666
752072,13266
752263,12841
752433,22160
752732,17057
753631,6677
753823,7332
754496,9248
754793,8247
782690,NA
805151,NA
805208,NA
805266,69565
805328,66666
805391,64000
805452,64516
805516,64000
805582,61538
805650,59701
805721,57553
805789,57553
805859,57971
805930,56737
806000,56737
806072,56338
806158,50632
806229,50955
806303,55172
806378,53691
806454,52980
806530,52631
806607,52287
806684,51948
806762,51612
806840,51282
806919,50955
806998,50632
807078,50314
807157,50314
807237,50314
807317,50000
807398,49689
807478,49689
807562,48780
807644,48192
807726,48780
807807,49079
807893,47904
807974,47904
808058,48484
808142,47619
808226,47619
808311,47337
808395,47337
808479,47619
808564,47337
808653,45977
808736,46511
808822,47337
808908,46511
808993,46783
809078,47058
809162,47337
809246,47619
809333,46783
809419,46242
809526,41450
809637,36697
809720,41237
809806,47337
810033,25559
810143,23738
810271,33613
810398,31372
810743,16949
810849,17738
810951,38461
811162,25559
811354,19851
811650,16393
811897,14732
812152,15936
812268,21563
812334,43956
812507,33472
812695,22160
812896,20565
812974,28673
813050,51948
813165,41884
813241,41884
813342,45197
813421,44444
813500,50632
813634,37558
813756,31250
813833,40201
813966,38095
814110,28880
814225,30888
814325,37209
814419,41237
814498,46242
814578,50314
814652,51948
814732,51948
814815,49079
814894,49382
815003,42553
815084,42105
815163,50000
815245,49689
815324,49689
815434,42328
815514,42105
815589,51612
815666,52631
815748,50314
815836,47058
815940,41666
816025,42328
816110,47058
816194,47337
816280,47058
816357,49079
816434,51948
816518,49689
816602,47619
816683,48484
816769,47904
816851,47619
816957,42553
817030,44692
817112,51612
817221,41884
817307,41025
817390,47337
817471,48780
817552,49382
817632,49689
817715,49079
817798,48192
817884,47337
817966,47619
818050,48192
818134,47619
818217,47904
818305,46783
818389,46511
818473,47619
818555,48192
818644,46783
818727,46511
818808,48780
818894,47904
819024,37037
819105,37914
819188,48780
819271,48192
819353,48484
819430,50314
819510,50955
819593,49079
819679,47337
819767,45977
819850,46783
819933,48192
820020,47058
820102,47337
820187,47904
820270,47619
820379,41666
820465,41025
820550,46783
820637,46511
820719,47337
820802,48484
820888,47337
820971,47337
821054,48192
821137,48192
821331,28880
821486,22922
821566,34042
821648,49382
821733,47904
821816,47619
821902,47337
821986,47058
822070,47619
822169,43715
822247,45197
822328,50314
822464,36866
822546,36697
822631,47904
822714,47619
822799,47619
822883,47337
823017,36697
823164,28469
823270,31620
823352,42553
823553,28268
823697,23188
823894,23460
824012,25396
824098,39215
824181,47337
824267,47337
824350,47337
824432,48484
824585,34042
824741,25889
824818,34334
824897,51282
825264,17937
825389,16260
825583,25078
825710,24922
825812,34934
826085,21333
826205,20356
826331,32520
826497,27397
826800,17057
827068,14010
827679,9101
828267,6672
828471,10101
828575,25974
828934,17278
829317,10781
830635,4703
831041,4640
831675,7692
832468,5606
833454,4496
835832,NA
837266,NA
846181,NA
867244,NA
890091,NA
890147,NA
890204,70796
890264,68376
890355,52980
890419,51612
890550,41025
890653,34188
890760,38095
890830,45197
890902,56338
890975,55172
891049,54421
891124,53691
891200,52980
891277,52287
891353,52287
891430,52287
891508,51612
891586,51282
891665,50955
891744,50632
891825,50000
891907,49079
891988,49079
892071,48780
892153,48484
892235,48780
892318,48484
892401,48192
892485,47904
892568,47904
892651,48192
892736,47619
892820,47337
892906,47058
892991,46783
893076,47058
893162,46783
893247,46783
893333,46783
893420,46242
893506,46242
893592,46511
893678,46511
893764,46511
893851,46242
893938,45977
894025,45977
894110,46511
894198,46242
894285,45714
894373,45714
894460,45714
894547,45977
894634,45977
894722,45714
894809,45714
894897,45714
894986,45197
895076,44692
895213,35242
895305,34934
895392,44692
895525,36363
895608,37037
895907,20942
896064,17543
896236,24316
896480,19230
896632,20202
896785,26229
896871,33472
896957,46511
897113,33057
897309,22727
897509,20202
897592,28268
897728,36529
897852,30769
898002,29197
898105,31620
898222,36363
898376,29520
898453,34632
898529,52287
898609,51282
898805,28985
898885,28985
898964,50314
899046,49689
899131,47904
899245,40201
899353,36036
899432,42780
899515,49382
