Folder1	Folder2	Night	Label	Number
cell-0	20160612	2016/06/12	LABO	8
cell-0	20160612	2016/06/12	LACI	1
cell-0	20160612	2016/06/12	NOID	1
cell-0	20160612	2016/06/12	NYHU	2
cell-0	20160615	2016/06/15	LABO	10
cell-0	20160615	2016/06/15	LACI	1
cell-0	20160615	2016/06/15	LANO	5
cell-0	20160615	2016/06/15	NOID	4
cell-0	20160615	2016/06/15	NYHU	2
cell-100	20160626	2016/06/26	EPFU	4
cell-100	20160626	2016/06/26	LABO	2
cell-100	20160626	2016/06/26	LACI	1
cell-100	20160626	2016/06/26	LANO	1
cell-100	20160626	2016/06/26	Myotis	2
cell-100	20160626	2016/06/26	NOID	3
cell-100	20160626	2016/06/26	NYHU	3
cell-100	20160626	2016/06/26	PESU	3
cell-100	20160626	2016/06/26	TABR	1
cell-100	20160628	2016/06/28	EPFU	9
cell-100	20160628	2016/06/28	LABO	8
cell-100	20160628	2016/06/28	LANO	2
cell-100	20160628	2016/06/28	NOID	7
cell-100	20160628	2016/06/28	NYHU	2
cell-100	20160628	2016/06/28	PESU	1
cell-100	20160628	2016/06/28	TABR	2
cell-100	20160628	2016/06/28	foraging	1
cell-12	20160630	2016/06/30	EPFU	5
cell-12	20160630	2016/06/30	LABO	4
cell-12	20160630	2016/06/30	LACI	4
cell-12	20160630	2016/06/30	LANO	9
cell-12	20160630	2016/06/30	Myotis	1
cell-12	20160630	2016/06/30	NOID	11
cell-12	20160630	2016/06/30	NYHU	2
cell-12	20160630	2016/06/30	PESU	3
cell-12	20160630	2016/06/30	TABR	3
cell-12	20160705	2016/07/05	EPFU	12
cell-12	20160705	2016/07/05	LABO	12
cell-12	20160705	2016/07/05	LANO	9
cell-12	20160705	2016/07/05	NOID	14
cell-12	20160705	2016/07/05	NYHU	7
cell-12	20160705	2016/07/05	PESU	2
cell-12	20160705	2016/07/05	TABR	3
cell-13	20160708	2016/07/08	LABO	15
cell-13	20160708	2016/07/08	Myotis	1
cell-13	20160708	2016/07/08	NOID	9
cell-13	20160708	2016/07/08	NYHU	14
cell-13	20160708	2016/07/08	PESU	20
cell-13	20160708	2016/07/08	foraging	1
cell-13	20160710	2016/07/10	LABO	13
cell-13	20160710	2016/07/10	Myotis	1
cell-13	20160710	2016/07/10	NOID	9
cell-13	20160710	2016/07/10	NYHU	11
cell-13	20160710	2016/07/10	PESU	8
cell-14	20160602	2016/06/02	LABO	1
cell-14	20160602	2016/06/02	NYHU	1
cell-14	20160603	2016/06/03	LABO	1
cell-14	20160603	2016/06/03	NOID	2
cell-14	20160603	2016/06/03	PESU	1
cell-15	20160722	2016/07/22	EPFU	5
cell-15	20160722	2016/07/22	LABO	13
cell-15	20160722	2016/07/22	LACI	2
cell-15	20160722	2016/07/22	LANO	3
cell-15	20160722	2016/07/22	NOID	4
cell-15	20160722	2016/07/22	NYHU	6
cell-15	20160722	2016/07/22	PESU	5
cell-15	20160722	2016/07/22	TABR	3
cell-15	20160723	2016/07/23	EPFU	2
cell-15	20160723	2016/07/23	LABO	18
cell-15	20160723	2016/07/23	LANO	2
cell-15	20160723	2016/07/23	NOID	6
cell-15	20160723	2016/07/23	NYHU	3
cell-15	20160723	2016/07/23	PESU	2
cell-15	20160723	2016/07/23	TABR	2
cell-18	20160607	2016/06/07	EPFU	3
cell-18	20160607	2016/06/07	LABO	8
cell-18	20160607	2016/06/07	LACI	1
cell-18	20160607	2016/06/07	NOID	4
cell-18	20160607	2016/06/07	NYHU	5
cell-18	20160607	2016/06/07	PESU	3
cell-18	20160607	2016/06/07	TABR	1
cell-18	20160608	2016/06/08	LABO	17
cell-18	20160608	2016/06/08	NOID	1
cell-18	20160608	2016/06/08	NYHU	14
cell-18	20160608	2016/06/08	PESU	4
cell-18	20160608	2016/06/08	TABR	1
cell-19	20160725	2016/07/25	EPFU	2
cell-19	20160725	2016/07/25	LABO	9
cell-19	20160725	2016/07/25	LANO	1
cell-19	20160725	2016/07/25	NOID	11
cell-19	20160725	2016/07/25	NYHU	5
cell-19	20160725	2016/07/25	PESU	2
cell-19	20160725	2016/07/25	TABR	1
cell-19	20160726	2016/07/26	LABO	11
cell-19	20160726	2016/07/26	LANO	1
cell-19	20160726	2016/07/26	NOID	9
cell-19	20160726	2016/07/26	NYHU	6
cell-19	20160726	2016/07/26	PESU	6
cell-19	20160726	2016/07/26	TABR	1
cell-1	20160609	2016/06/09	LABO	7
cell-1	20160609	2016/06/09	LANO	1
cell-1	20160609	2016/06/09	Myotis	1
cell-1	20160609	2016/06/09	NYHU	6
cell-1	20160609	2016/06/09	PESU	4
cell-1	20160610	2016/06/10	LABO	6
cell-1	20160610	2016/06/10	LANO	1
cell-1	20160610	2016/06/10	Myotis	2
cell-1	20160610	2016/06/10	NOID	3
cell-1	20160610	2016/06/10	NYHU	8
cell-1	20160610	2016/06/10	PESU	2
cell-20	20160625	2016/06/25	EPFU	1
cell-20	20160625	2016/06/25	LABO	2
cell-20	20160625	2016/06/25	LANO	3
cell-20	20160625	2016/06/25	NOID	3
cell-20	20160625	2016/06/25	NYHU	2
cell-20	20160625	2016/06/25	TABR	1
cell-20	20160627	2016/06/27	EPFU	3
cell-20	20160627	2016/06/27	LABO	7
cell-20	20160627	2016/06/27	LANO	2
cell-20	20160627	2016/06/27	NOID	4
cell-20	20160627	2016/06/27	NYHU	3
cell-20	20160627	2016/06/27	PESU	3
cell-20	20160627	2016/06/27	TABR	5
cell-21	20160719	2016/07/19	EPFU	4
cell-21	20160719	2016/07/19	LABO	13
cell-21	20160719	2016/07/19	LANO	2
cell-21	20160719	2016/07/19	NOID	6
cell-21	20160719	2016/07/19	NYHU	5
cell-21	20160719	2016/07/19	PESU	3
cell-21	20160719	2016/07/19	TABR	1
cell-21	20160719	2016/07/19	foraging	1
cell-21	20160722	2016/07/22	EPFU	6
cell-21	20160722	2016/07/22	LABO	12
cell-21	20160722	2016/07/22	LANO	3
cell-21	20160722	2016/07/22	Myotis	2
cell-21	20160722	2016/07/22	NOID	12
cell-21	20160722	2016/07/22	NYHU	5
cell-21	20160722	2016/07/22	PESU	6
cell-21	20160722	2016/07/22	foraging	1
cell-22	20160710	2016/07/10	LABO	18
cell-22	20160710	2016/07/10	NOID	6
cell-22	20160710	2016/07/10	NYHU	13
cell-22	20160710	2016/07/10	PESU	1
cell-22	20160710	2016/07/10	TABR	4
cell-22	20160710	2016/07/10	foraging	1
cell-22	20160714	2016/07/14	EPFU	6
cell-22	20160714	2016/07/14	LABO	21
cell-22	20160714	2016/07/14	LANO	2
cell-22	20160714	2016/07/14	NOID	10
cell-22	20160714	2016/07/14	NYHU	16
cell-22	20160714	2016/07/14	PESU	2
cell-22	20160714	2016/07/14	TABR	7
cell-23	20160724	2016/07/24	EPFU	3
cell-23	20160724	2016/07/24	LABO	16
cell-23	20160724	2016/07/24	LANO	1
cell-23	20160724	2016/07/24	NOID	11
cell-23	20160724	2016/07/24	NYHU	2
cell-23	20160724	2016/07/24	PESU	4
cell-23	20160725	2016/07/25	EPFU	1
cell-23	20160725	2016/07/25	LABO	9
cell-23	20160725	2016/07/25	LANO	1
cell-23	20160725	2016/07/25	NOID	8
cell-23	20160725	2016/07/25	NYHU	5
cell-23	20160725	2016/07/25	PESU	10
cell-23	20160725	2016/07/25	TABR	2
cell-23	20160725	2016/07/25	foraging	1
cell-24	20160611	2016/06/11	LABO	3
cell-24	20160611	2016/06/11	LANO	1
cell-24	20160611	2016/06/11	NOID	1
cell-24	20160611	2016/06/11	NYHU	4
cell-24	20160611	2016/06/11	TABR	1
cell-24	20160612	2016/06/12	LABO	6
cell-24	20160612	2016/06/12	LANO	2
cell-24	20160612	2016/06/12	NOID	2
cell-24	20160612	2016/06/12	NYHU	1
cell-26	20160717	2016/07/17	EPFU	3
cell-26	20160717	2016/07/17	LABO	10
cell-26	20160717	2016/07/17	LANO	3
cell-26	20160717	2016/07/17	Myotis	1
cell-26	20160717	2016/07/17	NOID	12
cell-26	20160717	2016/07/17	NYHU	6
cell-26	20160717	2016/07/17	PESU	9
cell-26	20160717	2016/07/17	foraging	1
cell-26	20160721	2016/07/21	EPFU	4
cell-26	20160721	2016/07/21	LABO	16
cell-26	20160721	2016/07/21	LANO	2
cell-26	20160721	2016/07/21	Myotis	2
cell-26	20160721	2016/07/21	NOID	9
cell-26	20160721	2016/07/21	NYHU	4
cell-26	20160721	2016/07/21	PESU	8
cell-27	20160713	2016/07/13	LABO	13
cell-27	20160713	2016/07/13	NOID	12
cell-27	20160713	2016/07/13	NYHU	10
cell-27	20160713	2016/07/13	PESU	12
cell-27	20160713	2016/07/13	foraging	2
cell-27	20160717	2016/07/17	LABO	22
cell-27	20160717	2016/07/17	Myotis	1
cell-27	20160717	2016/07/17	NOID	13
cell-27	20160717	2016/07/17	NYHU	10
cell-27	20160717	2016/07/17	PESU	3
cell-29	20160604	2016/06/04	LABO	3
cell-29	20160604	2016/06/04	Myotis	1
cell-29	20160604	2016/06/04	NOID	3
cell-29	20160604	2016/06/04	NYHU	4
cell-29	20160604	2016/06/04	PESU	4
cell-29	20160604	2016/06/04	TABR	1
cell-30	20160620	2016/06/20	EPFU	2
cell-30	20160620	2016/06/20	LABO	8
cell-30	20160620	2016/06/20	LACI	1
cell-30	20160620	2016/06/20	LANO	8
cell-30	20160620	2016/06/20	NOID	1
cell-30	20160620	2016/06/20	NYHU	11
cell-30	20160620	2016/06/20	TABR	4
cell-30	20160622	2016/06/22	EPFU	6
cell-30	20160622	2016/06/22	LABO	11
cell-30	20160622	2016/06/22	LACI	1
cell-30	20160622	2016/06/22	LANO	6
cell-30	20160622	2016/06/22	NOID	4
cell-30	20160622	2016/06/22	NYHU	9
cell-30	20160622	2016/06/22	TABR	9
cell-31	20160727	2016/07/27	LABO	6
cell-31	20160727	2016/07/27	NOID	12
cell-31	20160727	2016/07/27	NYHU	17
cell-31	20160727	2016/07/27	PESU	4
cell-31	20160728	2016/07/28	EPFU	1
cell-31	20160728	2016/07/28	LABO	4
cell-31	20160728	2016/07/28	NOID	9
cell-31	20160728	2016/07/28	NYHU	9
cell-31	20160728	2016/07/28	PESU	3
cell-32	20160616	2016/06/16	LABO	5
cell-32	20160616	2016/06/16	NOID	3
cell-32	20160616	2016/06/16	NYHU	2
cell-32	20160616	2016/06/16	TABR	4
cell-32	20160618	2016/06/18	EPFU	2
cell-32	20160618	2016/06/18	LABO	14
cell-32	20160618	2016/06/18	LACI	1
cell-32	20160618	2016/06/18	Myotis	1
cell-32	20160618	2016/06/18	NOID	5
cell-32	20160618	2016/06/18	NYHU	7
cell-32	20160618	2016/06/18	TABR	1
cell-33	20160630	2016/06/30	EPFU	4
cell-33	20160630	2016/06/30	LABO	12
cell-33	20160630	2016/06/30	LANO	1
cell-33	20160630	2016/06/30	NOID	3
cell-33	20160630	2016/06/30	NYHU	8
cell-33	20160630	2016/06/30	PESU	5
