"Filename","Time","Frequency"
"P7132033_37",10,NA
"P7132033_37",99,NA
"P7132033_37",183,46242
"P7132033_37",270,46783
"P7132033_37",359,45454
"P7132033_37",444,45977
"P7132033_37",529,47058
"P7132033_37",618,45977
"P7132033_37",703,45977
"P7132033_37",813,41025
"P7132033_37",899,40816
"P7132033_37",985,46511
"P7132033_37",1070,46783
"P7132033_37",1207,36036
"P7132033_37",1293,35874
"P7132033_37",1377,47058
"P7132033_37",1461,47619
"P7132033_37",1548,46783
"P7132033_37",1634,46242
"P7132033_37",1722,45977
"P7132033_37",1806,46511
"P7132033_37",1890,47619
"P7132033_37",1978,46511
"P7132033_37",2064,45977
"P7132033_37",2149,46783
"P7132033_37",2326,30534
"P7132033_37",2411,30534
"P7132033_37",2495,47337
"P7132033_37",2580,47337
"P7132033_37",2667,46511
"P7132033_37",2886,26143
"P7132033_37",3016,22922
"P7132033_37",3145,30888
"P7132033_37",3231,37209
"P7132033_37",3315,47058
"P7132033_37",3404,46242
"P7132033_37",3489,45977
"P7132033_37",3574,47058
"P7132033_37",3659,47058
"P7132033_37",3743,47337
"P7132033_37",4249,13559
"P7132033_37",4396,12251
"P7132033_37",4672,18912
"P7132033_37",4780,20833
"P7132033_37",4864,41666
"P7132033_37",5009,34934
"P7132033_37",5109,32653
"P7132033_37",5208,40201
"P7132033_37",5361,31746
"P7132033_37",5822,13029
"P7132033_37",5906,14678
"P7132033_37",6035,37558
"P7132033_37",6233,24464
"P7132033_37",6537,15936
"P7132033_37",6771,14869
"P7132033_37",6939,19900
"P7132033_37",7592,9744
"P7132033_37",7953,7889
"P7132033_37",8263,11922
"P7132033_37",10004,NA
"P7132033_37",10415,NA
"P7132033_37",10821,9791
"P7132033_37",12894,NA
"P7132033_37",13370,NA
"P7132033_37",14029,7048
"P7132033_37",14399,7774
"P7132033_37",14833,9950
"P7132033_37",17805,NA
"P7132033_37",58619,NA
"P7132033_37",58741,NA
"P7132033_37",58847,35087
"P7132033_37",59106,21917
"P7132033_37",59311,17241
"P7132033_37",59621,15533
"P7132033_37",59699,20618
"P7132033_37",59899,28776
"P7132033_37",59998,26755
"P7132033_37",60140,33195
"P7132033_37",60221,35874
"P7132033_37",60411,29520
"P7132033_37",60748,15180
"P7132033_37",60827,19230
"P7132033_37",60953,39024
"P7132033_37",61034,38647
"P7132033_37",61118,48484
