Filename,Time,Frequency,Pulse
S7152113.44#,0.822658,50314.46540879863,1
S7152113.44#,0.822737,49382.71604938409,1
S7152113.44#,0.822817,49079.7546012197,1
S7152113.44#,0.822899,48780.487804862285,1
S7152113.44#,0.82298,47904.19161675837,1
S7152113.44#,0.8230630000000001,47619.047619062934,1
S7152113.44#,0.8231470000000001,47058.8235294108,1
S7152113.44#,0.823231,46511.62790696025,1
S7152113.44#,0.8233170000000001,46242.774566479675,1
S7152113.44#,0.8234030000000001,45977.01149428023,1
S7152113.44#,0.82349,45714.28571430525,1
S7152113.44#,0.823577,45197.74011299876,1
S7152113.44#,0.823665,44943.820224716204,1
S7152113.44#,0.823754,44692.737430157555,1
S7152113.44#,0.823843,44444.44444442741,1
S7152113.44#,0.823933,44198.89502762755,1
S7152113.44#,0.8240230000000001,43956.04395606703,1
S7152113.44#,0.824114,43715.84699455147,1
S7152113.44#,0.824205,43243.24324324541,1
S7152113.44#,0.824297,43243.24324324541,1
S7152113.44#,0.82439,43243.24324324541,1
S7152113.44#,0.8244819999999999,42780.74866309057,1
S7152113.44#,0.824575,42553.19148934427,1
S7152113.44#,0.824669,42105.26315788953,1
S7152113.44#,0.824763,41884.816753939594,1
S7152113.44#,0.824859,41884.816753939594,1
S7152113.44#,0.824954,41775.74171030639,1
S7152113.44#,0.82505,41775.74171030639,1
S7152113.44#,0.825147,41666.66666667318,1
S7152113.44#,0.8252419999999999,40404.04040403398,1
S7152113.44#,0.8253389999999999,40000.0000000044,1
S7152113.44#,0.82544,40609.137055837,1
S7152113.44#,0.8255389999999999,40816.326530594546,1
S7152113.44#,0.825637,41025.64102562919,1
S7152113.44#,0.825735,40816.32653061766,1
S7152113.44#,0.825832,40609.137055837,1
S7152113.44#,0.825931,40609.137055837,1
S7152113.44#,0.826029,40201.005025135884,1
S7152113.44#,0.826128,40000.0000000044,1
S7152113.44#,0.826228,40201.005025135884,1
S7152113.44#,0.826328,39603.96039605441,1
S7152113.44#,0.8264269999999999,39215.68627451327,1
S7152113.44#,0.8265299999999999,39408.86699506142,1
S7152113.44#,0.8266309999999999,38834.951456303235,1
S7152113.44#,0.8267329999999999,38461.53846154106,1
S7152113.44#,0.8268369999999999,38834.951456303235,1
S7152113.44#,0.8269409999999999,39024.390243900394,1
S7152113.44#,0.827043,38647.34299517707,1
S7152113.44#,0.8271459999999999,38647.34299517707,1
S7152113.44#,0.8272499999999999,38647.34299517707,1
S7152113.44#,0.8273529999999999,38554.44072835906,1
S7152113.44#,0.8274569999999999,38461.53846154106,1
S7152113.44#,0.8275609999999999,38188.115202328016,1
S7152113.44#,0.8276649999999999,38188.115202328016,1
S7152113.44#,0.8277699999999999,37914.69194311498,1
S7152113.44#,0.827876,38277.51196171979,1
S7152113.44#,0.827981,37914.69194313493,1
S7152113.44#,0.828085,37383.177570104555,1
S7152113.44#,0.8281919999999999,37735.849056605555,1
S7152113.44#,0.8282989999999999,37558.685446006086,1
S7152113.44#,0.8284039999999999,37209.302325587414,1
S7152113.44#,0.8285119999999999,37735.849056605555,1
S7152113.44#,0.8286189999999999,37735.849056605555,1
S7152113.44#,0.8287239999999999,36866.359447000745,1
S7152113.44#,0.8288309999999999,37037.037037019036,1
S7152113.44#,0.8289409999999999,37914.69194311498,1
S7152113.44#,0.829047,37209.3023255682,1
S7152113.44#,0.829152,36363.636363618345,1
S7152113.44#,0.829262,37558.685446006086,1
S7152113.44#,0.8841600000000004,51948.05194805617,2
S7152113.44#,0.8842400000000004,51948.05194805617,2
S7152113.44#,0.8843140000000004,50955.41401275095,2
S7152113.44#,0.8843940000000003,51282.05128203649,2
S7152113.44#,0.8844710000000003,50632.91139237222,2
S7152113.44#,0.8845500000000004,50314.46540879863,2
S7152113.44#,0.8846290000000004,50000.00000001938,2
S7152113.44#,0.8847090000000004,50000.00000001938,2
S7152113.44#,0.8847890000000004,49844.720496909234,2
S7152113.44#,0.8848690000000003,49689.440993799086,2
S7152113.44#,0.8849500000000003,49382.71604938409,2
S7152113.44#,0.8850300000000003,49234.96439933068,2
S7152113.44#,0.8851120000000003,48780.487804862285,2
S7152113.44#,0.8851930000000003,48780.487804862285,2
S7152113.44#,0.8852760000000004,48780.487804862285,2
S7152113.44#,0.8853570000000004,48484.84848482446,2
S7152113.44#,0.8854400000000004,48486.629444599894,2
S7152113.44#,0.8855220000000005,48192.7710843375,2
S7152113.44#,0.8856040000000005,48192.7710843375,2
S7152113.44#,0.8856880000000005,47904.19161675837,2
S7152113.44#,0.8857700000000005,48048.48135054794,2
S7152113.44#,0.8858550000000005,47904.19161675837,2
S7152113.44#,0.8859380000000006,47904.19161675837,2
S7152113.44#,0.8860220000000005,47337.27810648486,2
S7152113.44#,0.8861050000000006,47058.8235294108,2
S7152113.44#,0.8861910000000006,47337.27810651596,2
S7152113.44#,0.8862750000000006,46783.62573098533,2
S7152113.44#,0.8863600000000006,46783.62573098533,2
S7152113.44#,0.8864460000000006,46783.62573098533,2
S7152113.44#,0.8865310000000006,46783.62573098533,2
S7152113.44#,0.8866170000000007,46242.774566479675,2
S7152113.44#,0.8867020000000007,45977.011494250895,2
S7152113.44#,0.8867900000000006,46511.62790696025,2
S7152113.44#,0.8868760000000007,46783.62573098533,2
S7152113.44#,0.9689060000000008,52631.57894739267,3
S7152113.44#,0.9689820000000008,52631.57894739267,3
S7152113.44#,0.9690580000000008,51948.05194805617,3
S7152113.44#,0.9691340000000007,50632.91139240779,3
S7152113.44#,0.9692120000000007,50314.46540879863,3
